COD-FAMILIAR-FAM;RENDA-MEDIA;LOCALIDADE;UNIDADE_DE_ATENDMENTO;COD-AGUA-CANALIZADA-FAM;COD-ABASTE-AGUA-DOMIC-FAM;COD-BANHEIRO-DOMIC-FAM;COD-ESCOA-SANITARIO-DOMIC-FAM;COD-DESTINO-LIXO-DOMIC-FAM;COD-ILUMINACAO-DOMIC-FAM;COD-CALCAMENTO-DOMIC-FAM
20137;75;MUCUNA;MUCUNA;1;1;1;2;1;2;1
20138;381;CAGADO;MUCUNA;1;1;1;2;1;1;1
20139;4;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
20140;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
20141;0;INDUSTRIAL;PAJUCARA;1;1;1;3;1;1;1
20142;60;TIMBO;TIMBO;1;1;1;1;1;1;1
20143;519;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
20144;150;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;1
20145;45;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;3
20146;0;SIQUEIRA;PARQUE SAO JOAO;1;1;1;2;1;1;1
20147;0;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;3
20148;16;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
20149;0;PAJUCARA;PAJUCARA;1;1;1;3;4;1;3
20150;0;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
20151;16;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;1
20152;50;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
